+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| dátum          | dem     | new_dem | nd/n  | rep     | new_rep | nr/n   | registr | new     |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| 2004_01        | 2392156 | 2392156 |   47% | 1732789 | 1732789 |    34% | 5026616 | 5026616 |
| 2004_05        | 2408759 |   16603 |   31% | 1750359 |   17570 |    33% | 5079830 |   53214 |
| 2004_11        | 2584307 |  175548 |   38% | 1912003 |  161644 |    35% | 5534799 |  454969 |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| 2008_01        | 2511446 |  -72861 | -104% | 1919575 |    7572 |    10% | 5604420 |   69621 |
| 2008_03        | 2536180 |   24734 |   42% | 1930856 |   11281 |    19% | 5663119 |   58699 |
| 2008_08        | 2683401 |  147221 |   57% | 1939938 |    9082 |     3% | 5921166 |  258047 |
| 2008_09        | 2735413 |   52012 |   49% | 1959080 |   19142 |    18% | 6026628 |  105462 |
| 2008_10        | 2829367 |   93954 |   55% | 1986759 |   27679 |    16% | 6196872 |  170244 |
| 2008_11        | 2871589 |   42222 |   52% | 2005386 |   18627 |    23% | 6277007 |   80135 |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| 2012_01        | 2725829 | -145760 |  256% | 2087238 |   81852 |  -144% | 6220291 |  -56716 |
| 2012_02        | 2725496 |    -333 |   -2% | 1958059 | -129179 | -1148% | 6231539 |   11248 |
| 2012_03        | 2734890 |    9394 |   20% | 1971801 |   13742 |    29% | 6278266 |   46727 |
| 2012_04        | 2737072 |    2182 |   12% | 1975930 |    4129 |    22% | 6296379 |   18113 |
| 2012_05        | 2738689 |    1617 |   27% | 1977092 |    1162 |    19% | 6302356 |    5977 |
| 2012_06        | 2732062 |   -6627 |   51% | 1973405 |   -3687 |    28% | 6289415 |  -12941 |
| 2012_07        | 2742625 |   10563 |   21% | 1986111 |   12706 |    25% | 6339138 |   49723 |
| 2012_08        | 2759893 |   17268 |   29% | 1997192 |   11081 |    18% | 6397570 |   58432 |
| 2012_09        | 2789654 |   29761 |   36% | 2013483 |   16291 |    20% | 6478593 |   81023 |
| 2012_10        | 2849683 |   60029 |   46% | 2040552 |   27069 |    21% | 6606592 |  127999 |
| 2012_11        | 2876046 |   26363 |   44% | 2056189 |   15637 |    26% | 6665569 |   58977 |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| 2016_01        | 2630193 | -245853 |  109% | 1962144 |  -94045 |    41% | 6440501 | -225068 |
| 2016_02        | 2638469 |    8276 |   14% | 1981448 |   19304 |    32% | 6499195 |   58694 |
| 2016_03        | 2645878 |    7409 |   32% | 1988495 |    7047 |    30% | 6521983 |   22788 |
| 2016_04        | 2652185 |    6307 |   11% | 2006212 |   17717 |    31% | 6578672 |   56689 |
| 2016_05        | 2651927 |    -258 |   -2% | 2007857 |    1645 |    16% | 6588451 |    9779 |
| 2016_06        | 2655021 |    3094 |   13% | 2013226 |    5369 |    23% | 6611473 |   23022 |
| 2016_07        | 2659782 |    4761 |   15% | 2018873 |    5647 |    18% | 6642234 |   30761 |
| 2016_08_06     | 2661311 |    1529 |   17% | 2020743 |    1870 |    21% | 6650763 |    8529 |
| 2016_08_13     | 2663156 |    1845 |   22% | 2022148 |    1405 |    17% | 6658948 |    8185 |
| 2016_08_20     | 2665330 |    2174 |   22% | 2023603 |    1455 |    14% | 6668789 |    9841 |
| 2016_08_27     | 2668607 |    3277 |   26% | 2025271 |    1668 |    13% | 6681293 |   12504 |
| 2016_09_03     | 2671858 |    3251 |   24% | 2027347 |    2076 |    15% | 6694335 |   13042 |
| 2016_09_10     | 2673587 |    1729 |   19% | 2029084 |    1737 |    19% | 6703356 |    9021 |
| 2016_09_17     | 2676253 |    2666 |   21% | 2031678 |    2594 |    20% | 6716027 |   12671 |
| 2016_09_24     | 2680107 |    3854 |   24% | 2035421 |    3743 |    23% | 6731766 |   15739 |
| 2016_10_01     | 2684243 |    4136 |   23% | 2039585 |    4164 |    23% | 6749460 |   17694 |
| 2016_10_08     | 2689045 |    4802 |   24% | 2044281 |    4696 |    23% | 6769242 |   19782 |
| 2016_10_15     | 2694956 |    5911 |   22% | 2050622 |    6341 |    23% | 6795706 |   26464 |
| 2016_10_22     | 2705699 |   10743 |   26% | 2060227 |    9605 |    23% | 6835820 |   40114 |
| 2016_10_29     | 2715039 |    9340 |   32% | 2067392 |    7165 |    24% | 6864841 |   29021 |
| 2016_11_05     | 2725054 |   10015 |   31% | 2079619 |   12227 |    38% | 6896349 |   31508 |
| 2016_11_12     | 2733463 |    8409 |   37% | 2087238 |    7619 |    33% | 6918905 |   22556 |
| 2016_11_19     | 2734023 |     560 |   30% | 2087727 |     489 |    26% | 6920747 |    1842 |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| 2020_01        | 2519230 | -214793 | 3495% | 2070066 |  -17661 |   287% | 6914603 |   -6144 |
| 2020_02        | 2524784 |    5554 |   21% | 2075505 |    5439 |    21% | 6940361 |   25758 |
| 2020_03        | 2529625 |    4841 |   17% | 2084488 |    8983 |    32% | 6968212 |   27851 |
| 2020_04        | 2530120 |     495 |    3% | 2088636 |    4148 |    32% | 6980984 |   12772 |
| 2020_05        | 2528166 |   -1954 |  -64% | 2090399 |    1763 |    58% | 6984009 |    3025 |
| 2020_06        | 2531561 |    3395 |   20% | 2093839 |    3440 |    20% | 7000747 |   16738 |
| 2020_07        | 2535222 |    3661 |   12% | 2104343 |   10504 |    35% | 7030358 |   29611 |
| 2020_08_08     | 2538174 |    2952 |   20% | 2109596 |    5253 |    36% | 7044905 |   14547 |
| 2020_08_15     | 2540154 |    1980 |   19% | 2113806 |    4210 |    40% | 7055322 |   10417 |
| 2020_08_22     | 2542532 |    2378 |   20% | 2118741 |    4935 |    42% | 7067058 |   11736 |
| 2020_08_29     | 2546802 |    4270 |   21% | 2128132 |    9391 |    46% | 7087350 |   20292 |
